country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Guinea,850,880,910,960,1000,1040,1070,1120,1140,1180,1200,1240,1320,1280,1320,1350,1460,1560,1620,1560,1640,1710,1770,1720,1750,1790,2040,2410,2470,2540,2580
Gambia,1470,1530,1570,1600,1590,1600,1620,1650,1670,1740,1810,1900,1790,1920,2100,2050,2030,2090,2210,2300,2390,2170,2150,2080,1980,2020,2030,2030,2170,2280,2240
Guinea-Bissau,990,1030,1050,1070,1110,1150,1280,1370,970,980,1040,1050,1060,1060,1090,1150,1190,1240,1260,1280,1330,1450,1360,1340,1430,1640,1790,1930,1880,2060,1980
Equatorial Guinea,690,700,940,1020,1020,1090,1750,4550,5020,6470,5890,6420,8230,7840,9850,14.2k,23.3k,26.8k,28.5k,24.8k,19.4k,22.2k,24.9k,23.8k,22.9k,18.1k,15.8k,16.6k,16k,14.1k,13.3k
Greece,,,,,,,,,,,,,,,,,28k,28.6k,29.9k,29.7k,27.3k,25k,25.1k,26k,26.8k,26.7k,27.4k,28.5k,29.3k,30.1k,27.8k
Grenada,4520,4830,4890,4810,4940,5040,5310,5630,6280,6760,7150,7010,7270,8110,8030,10.1k,9930,10.7k,11k,9950,10.3k,10.7k,10.7k,11.5k,11.9k,12.5k,13.7k,14.5k,15.6k,15.9k,15.4k
Guatemala,3220,3420,3560,3710,3850,4020,4090,4250,4430,4550,4700,4840,4940,5050,5220,5440,5760,6150,6410,6350,6450,6720,7060,7270,7560,8000,8040,8150,8490,8850,8700
Guyana,2720,2820,3230,3700,4160,4480,5060,5440,5480,5710,5870,6120,6280,6400,6720,6830,7240,8190,8470,8850,9350,9960,10.5k,11.1k,11k,11.3k,11.3k,12k,12.7k,13.5k,16.6k
"Hong Kong, China",17.8k,19.1k,20.6k,22.9k,24.2k,24.9k,24.9k,26.6k,25.6k,26.4k,28.5k,29.5k,29.8k,32k,35.3k,38.3k,42.7k,46.6k,49.5k,47.3k,50.2k,53.7k,53k,54.7k,55.9k,57.5k,58.7k,62.5k,65.5k,65.2k,62.5k
Honduras,1930,1870,1960,2120,2110,2220,2240,2340,2400,2370,2510,2560,2620,2700,2850,3060,3280,3550,3700,3600,3600,3720,3750,3850,4090,4490,4790,5220,5360,5520,5050
Croatia,,,,,,8060,8790,9540,9840,9750,10.5k,11.4k,12.6k,13.2k,14.4k,15.1k,17.1k,19k,20.2k,19.4k,19.3k,20.3k,20.7k,21.6k,21.9k,23.2k,24.5k,26.8k,28.5k,30.1k,28.9k
Haiti,2140,2210,2100,1990,1760,1950,2030,2080,2110,2160,2190,2190,2210,2290,2280,2380,2470,2610,2690,2830,2660,2810,2770,2960,2980,2910,3090,3170,3250,3210,3100
Hungary,,,,8210,8610,8790,8930,9230,9750,10.2k,11.2k,12.4k,13.7k,14.6k,15.3k,16k,17.3k,17.6k,19.4k,19.8k,20.7k,21.9k,22.3k,23.8k,24.5k,25.5k,27.2k,28.3k,30.7k,32.6k,32.2k
Indonesia,2930,3190,3410,3700,4040,4390,4760,4980,4200,4140,4430,4770,5040,5260,5550,5950,6420,6930,7440,7740,8280,8840,9440,9770,9930,9910,10.2k,10.6k,11.3k,11.9k,11.8k
India,1190,1210,1280,1350,1440,1560,1670,1740,1840,1990,2070,2190,2270,2450,2680,2930,3210,3510,3630,3890,4190,4450,4800,4990,5170,5400,5720,6120,6600,6930,6440
Ireland,12.8k,13.4k,13.9k,14.6k,15.8k,17.3k,18.8k,20.4k,22.5k,23.6k,26.3k,27.8k,29.5k,31.3k,33.4k,35k,38.8k,40.4k,38.2k,34.6k,36.2k,36.6k,37.4k,40.3k,43.1k,53.1k,58.2k,61.7k,65.5k,67.8k,71k
Iran,7190,8190,8440,8590,8480,8730,9230,9330,9530,9670,10.3k,10.5k,11.3k,12.4k,13.1k,13.7k,14.7k,16.2k,16.4k,16.4k,17.4k,18k,16.1k,15.4k,15.3k,13.6k,14.1k,14.6k,13.9k,12.9k,13.3k
Iraq,,2640,3490,4570,4700,4750,5210,6150,8130,9370,11k,11.1k,9930,6350,9750,9070,10.1k,10.6k,12.2k,12.5k,12.9k,13.5k,15.2k,15.5k,13.8k,9680,9340,10.4k,10.7k,11.3k,9400
Iceland,,,,,,23.6k,24.5k,26.5k,28.1k,29k,28.7k,30.8k,32.7k,32.4k,34.4k,35.5k,36.3k,38.8k,34k,33.6k,32.2k,34.5k,36.7k,42.1k,43.5k,46.5k,51k,53.9k,54.3k,57.8k,52k
Israel,,,,,,19.2k,20.2k,20.7k,21.3k,21.6k,23.4k,23.9k,24.3k,23k,24.5k,24.6k,25.6k,27.5k,27k,26.8k,28.3k,30.2k,31k,33.6k,34.2k,35.2k,37.5k,38.9k,39.9k,39.8k,39.1k
